Name,R1,R2,R3,R4,Cont,Event,<Day,Day,>Day,km2,Type,RO,ER,P,PF,ADR,ET,RR,LF,GW,Snow,Grow,Agro,HP,Pes,Deg,DD,V,SOR,ROM,ERM,LCH,PFM,LMF,PU,T,PP,Tot
﻿ACTMO,﻿Quilbe2006,﻿Pandey2016,,,,Event,<Day,,,<10,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,Yes,Deg.,,,Sorpt.,ROM,ERM,Lch.,,,,,5,8
ADAPT,﻿Quilbe2006,,,,Cont.,,,Day,,,,RO,Eros.,,,,,,,,,,,2,Yes,,,,,ROM,ERM,,,,,,3,5
AGNPS,﻿Borah2003,﻿Quilbe2006,﻿Merritt2003,﻿Pandey2016,Cont.,Event,<Day,Day,>Day,<100,Dist.,RO,Eros.,Perc.,,,,RR,,,,,,4,Yes,Deg.,,,Sorpt.,ROM,ERM,Lch.,,,,,5,9
AnnaAGNPS,﻿Borah2003,﻿Pandey2016,,,Cont.,,<Day,Day,>Day,<100,Dist.,RO,Eros.,Perc.,,,,,LF,GW,Snow,,,6,Yes,Deg.,,,,ROM,,Lch.,,,,,3,9
ANSWERS,﻿Borah2003,﻿Pandey2016,,,,Event,<Day,Day,>Day,<100,Dist.,RO,Eros.,Perc.,,,,,LF,GW,,,,5,No,,,,,,,,,,,,0,5
ANSWERS-Continuous,﻿Borah2003,﻿Pandey2016,,,Cont.,,<Day,Day,>Day,<100,Dist.,RO,Eros.,Perc.,,,ET,RR,LF,GW,,,,7,No,,,,,ROM,,,,,Uptake,,2,9
APEX,﻿Pandey2016,,,,Cont.,,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
ARM,﻿Quilbe2006,,,,,Event,<Day,Day,,,,RO,Eros.,,,,,,,,,,,2,Yes,Deg.,,,Sorpt.,ROM,ERM,,,,,,5,7
BASINS,﻿Quilbe2006,,,,Cont.,,,Day,,>100,Dist.,RO,Eros.,Perc.,,,,RR,,,,,,4,Yes,Deg.,,Volat,Sorpt.,ROM,ERM,Lch.,,,,,6,10
CASC2D,﻿Borah2003,﻿Pandey2016,,,Cont.,Event,<Day,Day,>Day,<100,Dist.,RO,Eros.,Perc.,,,ET,,,,,,,4,No,,,,,,,,,,,,0,4
CatchIS,﻿Quilbe2006,,,,Cont.,,,Day,,>100,,RO,Eros.,Perc.,,,,RR,,,,,,4,Yes,Deg.,,,Sorpt.,ROM,ERM,Lch.,,,,,5,9
CHEMCAN,﻿Quilbe2006,,,,Cont.,,,,,>100,Lump.,RO,,Perc.,,,,,,,,,,2,Yes,,,Volat,,ROM,,Lch.,,,,,4,6
CHEMGL,﻿Quilbe2006,,,,Cont.,,,,,>100,Lump.,RO,,Perc.,,,,,,,,,,2,Yes,,,Volat,,ROM,,Lch.,,,,,4,6
CPM,﻿Quilbe2006,,,,Cont.,,,,>Day,,,RO,Eros.,Perc.,,,,,,,,,,3,Yes,Deg.,,,Sorpt.,ROM,ERM,Lch.,,,,,5,8
CRACK-NP,﻿Koehne2009b,,,,Cont.,Event,<Day,,,<10,1D,RO,,Perc.,PF,ADR,ET,,LF,,,CW,,7,Yes,Deg.,DD,,Sorpt.,,,Lch.,PFM,,,Temp.,6,13
CREAMS,﻿Merritt2003,Pandey2016,,,Cont.,Event,,,,<10,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
DRIPS,﻿Quilbe2006,,,,Cont.,,,Day,,>100,Dist.,RO,,Perc.,,,,,,,,,,2,Yes,Deg.,,Volat,,ROM,,Lch.,,,,,5,7
DWSM,﻿Borah2003,﻿Quilbe2006,﻿Pandey2016,,,Event,<Day,Day,>Day,>100,Dist.,RO,Eros.,Perc.,,,,,LF,GW,,,,5,Yes,,,,Sorpt.,ROM,ERM,,,,,,3,8
EGEM,﻿Pandey2016,,,,Cont.,Event,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
EMSS,﻿Merritt2003,,,,,,,,,,,RO,Eros.,,,,,,,,,,,2,No,,,,,,,,,,,,0,2
EPIC,﻿Pandey2016,,,,Cont.,Event,,,,<10,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
EROSION-2D/3D,﻿Pandey2016,,,,,Event,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
EUROSEM,﻿Pandey2016,,,,,Event,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
FLOWT,﻿Payraudeau2012,,,,,,,,,,,,,,,,,,,,,,,0,No,,,,,,,,,,,,0,0
GAMES,﻿Pandey2016,,,,Cont.,,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
GeoPEARL,﻿Quilbe2006,,,,Cont.,,,Day,,>100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,Yes,Deg.,,,Sorpt.,ROM,ERM,Lch.,,,,,5,8
GERIQEAU,﻿Quilbe2006,,,,Cont.,,,Day,,>100,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,Yes,Deg.,,,Sorpt.,ROM,ERM,Lch.,,,,,5,8
GIBSI,﻿Quilbe2006,,,,Cont.,,,Day,,>100,Dist.,RO,Eros.,Perc.,,,,RR,,,,,,4,Yes,Deg.,,,Sorpt.,ROM,ERM,Lch.,,,,,5,9
GLEAMS,﻿Pandey2016,,,,Cont.,Event,,,,<10,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,Yes,,,,,,,,,,,,0,3
GR5-pesticides,﻿Payraudeau2012,,,,,,,,,,,,,,,,,,,,,,,0,No,,,,,,,,,,,,0,0
GSSHA,﻿Pandey2016,,,,Cont.,Event,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
GUEST,﻿Merritt2003,﻿Pandey2016,,,,Event,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
HSPF,﻿Borah2003,﻿Quilbe2006,﻿Merritt2003,,Cont.,Event,<Day,Day,>Day,>100,Dist.,RO,Eros.,Perc.,,,ET,RR,LF,GW,,,,7,Yes,Deg.,,Volat,Sorpt.,ROM,ERM,Lch.,,,,Temp.,7,14
HYDRUS-1D/2D/3D,﻿Koehne2009b,,,,Cont.,Event,<Day,,,<10,1D,RO,,Perc.,PF,ADR,ET,,LF,,,CW,,7,Yes,Deg.,DD,Volat,Sorpt.,,,Lch.,PFM,,Uptake,Temp.,8,15
HYPE,﻿Pandey2016,,,,Cont.,,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
I-Phy-BVci,﻿Payraudeau2012,,,,,,,,,,,,,,,,,,,,,,,0,No,,,,,,,,,,,,0,0
IDEAL,﻿Pandey2016,,,,,Event,,,,<100,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
IHACRES-WQ,﻿Merritt2003,,,,,,,,,,,RO,Eros.,,,,,,,,,,,2,No,,,,,,,,,,,,0,2
IQQM,﻿Merritt2003,﻿Pandey2016,,,Cont.,Event,,,,<100,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
IWMM,﻿Quilbe2006,,,,,,,,,,,,,,,,,,,,,,,0,Yes,,,,,,,,,,,,3,3
KINEROS,﻿Borah2003,﻿Pandey2016,,,,Event,<Day,Day,>Day,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
LASCAM,﻿Merritt2003,﻿Pandey2016,,,Cont.,,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
LEACHM-runoff,﻿Payraudeau2012,,,,,,,,,<10,,,,,,,,,,,,,,0,No,,,,,,,,,,,,0,0
